,Note/Barème,Pts jury,Résultat,Session,Crédits
SEMESTRE 5,15.228 /20,,Admis,S1 2021/22,30
Parcours Classique,15.228 /20,,Admis,S1 2021/22,30
Analyse syntaxique et interprétation,15 /20,,Admis,S1 2021/22,6
Grammaires algébriques,15 /20,,Admis,S1 2021/22,3
CC,15 /20,,,S1 2021/22,
Interprétation,15 /20,,Admis,S1 2021/22,3
CC,15 /20,,,S1 2021/22,
Systèmes et concurrence,15.583 /20,,Admis,S1 2021/22,9
Systèmes et outils,15 /20,,Admis,S1 2021/22,3
CC,15 /20,,,S1 2021/22,
Programmation concurrente,13.5 /20,,Admis,S1 2021/22,3
CC,13.5 /20,,,S1 2021/22,
Application mobiles,18.25 /20,,Admis,S1 2021/22,3
CC,18.25 /20,,,S1 2021/22,
Conception logicielle,13.667 /20,,Admis,S1 2021/22,9
Conception à objets,16.5 /20,,Admis,S1 2021/22,3
CC,16.5 /20,,,S1 2021/22,
Conception de bases de données,9.5 /20,,Ajourné,S1 2021/22,3
CC,9.5 /20,,,S1 2021/22,
Projet de programmation orientée objets,15.5 /20,,Admis,S1 2021/22,3
CC,15.5 /20,,,S1 2021/22,
TP,15/20,,,S1 2021/22,
Enseignement Transvers,17.263 /20,,Admis,S1 2021/22,6
Anglais,16.25 /20,,Admis,S1 2021/22,3
CC,16.25 /20,,,S1 2021/22,
Culture professionnelle et insertion Professionnelle,18.275 /20,,Admis,S1 2021/22,3
CC,18.7 /20,,,S1 2021/22,
TP,17 /20,,,S1 2021/22,
SEMESTRE 6,13.3/20,,Admis,S2 2021/22,30
