,Note/Barème,Résultat,Session,Crédits
UE1 Compléments d'informatique,12.898 /20,Admis,SU 2020/21,10
Projet tutoré compléments,15.8 /20,,SU 2020/21,
Administration système et réseau,12.9 /20,,SU 2020/21,
Programmation répartie,6.5 /20,,SU 2020/21,
Programmation Web - client riche,10 /20,,SU 2020/21,
Conception et développement d'applications mobiles,16 /20,,SU 2020/21,
Mathématiques pour l'informatique,14.25 /20,,SU 2020/21,
UE2 Compléments de culture scientifique, sociale et humaine,14.418 /20,Admis,SU 2020/21,8
Expression communication-communiquer dans les organisations,14 /20,,SU 2020/21,
Travailler en anglais,18 /20,,SU 2020/21,
Compléments contrôle de gestion ou budgétaire,18 /20,,SU 2020/21,
Mathématiques avancées,7.67 /20,,SU 2020/21,
UE3 Mise en situation professionnelle,16.5 /20,Admis,SU 2020/21,12
Stage professionnel,16.5 /20,,SU 2020/21,
