RES1,Réseaux 1,4,10.65,Février
SYS1,Systèmes d'exploitation 1,5,5.50,Février
IGL,Introduction au génie logiciel,5,10.00,Février
THP,Théorie des langues de programmation et applications,4,11.90,Février
ANUM,Analyse Numérique,4,11.50,Février
ORG,Analyse des organisations,3,14.30,Février
RO,Recherche opérationelle: graphes et algorithmes,3,7.20,Février
LANG1,langue anglaise 1,2,12.17,Février
ARCH,Architecture ,4,13.33,Juin
RES2,Réseaux 2,3,12.11,Juin
SYS2,Système d'exploitaion 2,4,8.35,Juin
BDD,Bases de données,5,12.00,Juin
MCSI,Méthodologies d'analyse et conception de systèmes d'information,5,12.80,Juin
CPROJ,Conduite de projets,3,10.88,Juin
PROJ,Projet,3,15.51,Juin
SEC,Introduction à la sécurité informatique,1,15.00,Juin
LANG2,langue anglaise 2,2,14.50,Juin
